,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
49,Sumqayıt,Chevrolet,Cruze,2014,Sedan,Gümüşü,1.4 L/153 a.g./Benzin,190 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 900 AZN,5.0,1.0,Avropa
50,Bakı,Maserati,Quattroporte,2014,Sedan,Qara,3.0 L/410 a.g./Benzin,85 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",46 000 USD,5.0,1.0,Rəsmi diler
51,Bakı,Toyota,Land Cruiser,2004,Offroader / SUV,Ağ,4.5 L/224 a.g./Benzin,282 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 000 AZN,5.0,2.0,Yaponiya
52,Sumqayıt,Hyundai,Santa Fe,2010,Offroader / SUV,Qara,3.5 L/280 a.g./Benzin,178 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 900 AZN,7.0,1.0,Rəsmi diler
53,Sumqayıt,Kia,Cerato,2014,Sedan,Qara,1.8 L/149 a.g./Benzin,150 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 500 AZN,5.0,2.0,Amerika
54,Lənkəran,Toyota,Land Cruiser,2022,Offroader / SUV,Ağ,4.0 L/271 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",92 000 USD,5.0,0.0,Avropa
55,Sumqayıt,Mercedes,GL 450,2008,Offroader / SUV,Ağ,4.7 L/340 a.g./Benzin,198 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 500 USD,7.0,1.0,Avropa
56,Sumqayıt,Mercedes,Vito 115,2010,Minivan,Gümüşü,2.2 L/150 a.g./Dizel,380 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 500 AZN,5.0,2.0,Avropa
57,Sumqayıt,Mercedes,C 280,2000,Sedan,Gümüşü,2.8 L/193 a.g./Benzin,285 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 800 AZN,5.0,1.0,Avropa
58,Sumqayıt,Opel,Astra,2006,Universal,Qırmızı,1.3 L/90 a.g./Dizel,170 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 200 AZN,5.0,1.0,Avropa
59,Bakı,Mercedes,E 240,2003,Sedan,Ağ,2.6 L/177 a.g./Benzin,295 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 800 AZN,5.0,1.0,Avropa
60,Bakı,Land Rover,Discovery,2017,Offroader / SUV,Yaş Asfalt,3.0 L/258 a.g./Dizel,92 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",53 800 USD,5.0,2.0,Avropa
61,Sumqayıt,Hyundai,Grandeur,2007,Sedan,Qara,2.2 L/155 a.g./Dizel,297 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 800 AZN,5.0,1.0,Avropa
62,Sumqayıt,Nissan,Qashqai,2008,Offroader / SUV,Ağ,2.0 L/140 a.g./Benzin,264 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 000 AZN,5.0,2.0,Avropa
63,Bakı,Toyota,Prius,2011,Liftbek,Qırmızı,1.8 L/99 a.g./Hibrid,111 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 000 AZN,5.0,1.0,Amerika
64,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Qara,2.8 L/200 a.g./Dizel,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",59 500 USD,5.0,0.0,Avropa
65,Sumqayıt,Ford,Fusion,2015,Sedan,Yaş Asfalt,1.5 L/181 a.g./Benzin,98 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 900 AZN,5.0,1.0,Avropa
66,Sumqayıt,Mercedes,S 500,2007,Sedan,Qara,5.5 L/388 a.g./Benzin,210 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 700 AZN,5.0,1.0,Avropa
67,Sumqayıt,Opel,Astra,2010,Hetçbek,Yaş Asfalt,1.6 L/105 a.g./Benzin,245 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,5.0,2.0,Rəsmi diler
68,Bakı,Opel,Astra,2007,Universal,Göy,1.4 L/90 a.g./Benzin,270 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 500 AZN,5.0,2.0,Avropa
69,Lənkəran,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Avropa
70,Bakı,Ford,Fusion,2016,Sedan,Ağ,2.0 L/240 a.g./Benzin,192 799 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 400 AZN,5.0,2.0,Avropa
71,Bakı,Lexus,NX 200,2022,Offroader / SUV,Qara,2.0 L/150 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",45 500 USD,5.0,1.0,Rəsmi diler
72,Bakı,BMW,530e,2021,Sedan,Ağ,2.0 L/292 a.g./Plug-in Hibrid,18 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",66 000 USD,5.0,1.0,Avropa
73,Bakı,Mercedes-Maybach,S 580 4MATIC,2022,Sedan,Qara,4.0 L/503 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",347 555 USD,5.0,1.0,Avropa
74,Bakı,Nissan,X-Trail,2002,Offroader / SUV,Ağ,2.0 L/150 a.g./Benzin,292 810 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 200 AZN,5.0,2.0,Yaponiya
