,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
5060,Bakı,Kia,Optima,2013,Sedan,Göy,2.0 L/274 a.g./Benzin,109 435 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 300 AZN,5.0,1.0,Amerika
5061,Bakı,BMW,528,2014,Sedan,Boz,2.0 L/245 a.g./Benzin,159 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 900 USD,5.0,0.0,Avropa
5062,Sumqayıt,Hyundai,Veloster,2014,Hetçbek,Göy,1.6 L/186 a.g./Benzin,154 497 km,Avtomat,Ön,Xeyr,"Vuruğu var, rənglənib",18 400 AZN,4.0,2.0,Amerika
5063,Sumqayıt,Mercedes,E 320,1998,Sedan,Yaşıl,3.2 L/224 a.g./Benzin,265 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,2.0,Avropa
5064,Sumqayıt,Nissan,Note,2006,Hetçbek,Gümüşü,1.5 L/103 a.g./Dizel,218 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,1.0,Avropa
5065,Bakı,Mitsubishi,Eclipse Cross,2022,Offroader / SUV,Gümüşü,2.0 L/150 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",27 900 USD,5.0,1.0,Avropa
5066,Bakı,Kia,Rio,2010,Hetçbek,Qara,1.4 L/97 a.g./Benzin,127 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,1.0,Avropa
5067,Bakı,Mercedes,S 420,1995,Sedan,Qara,4.2 L/279 a.g./Benzin,197 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 000 AZN,4.0,1.0,Avropa
5068,Biləsuvar,GAZ,3110,1993,Pikap,Gümüşü,2.4 L/131 a.g./Benzin,253 500 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",4 500 AZN,5.0,1.0,Avropa
5069,Sumqayıt,Mercedes,C 220,1995,Sedan,Yaşıl,2.2 L/150 a.g./Benzin,356 565 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",8 600 AZN,5.0,1.0,Avropa
5070,Sumqayıt,Toyota,Prado,2006,Offroader / SUV,Gümüşü,4.0 L/250 a.g./Benzin,258 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 900 AZN,7.0,1.0,Avropa
5071,Sumqayıt,BMW,X6,2008,Offroader / SUV,Qara,3.0 L/306 a.g./Benzin,284 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 900 USD,5.0,2.0,Avropa
5072,Sumqayıt,Mercedes,E 240,2000,Sedan,Boz,2.4 L/170 a.g./Benzin,296 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 900 AZN,5.0,2.0,Avropa
5073,Bakı,Mercedes,Vito,1999,Minivan,Gümüşü,2.0 L/129 a.g./Dizel,392 748 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 000 AZN,7.0,1.0,Avropa
5074,Sabirabad,LADA (VAZ),2107,2005,Sedan,Göy,1.6 L/75 a.g./Benzin,147 230 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 200 AZN,5.0,0.0,Rusiya
5075,Sumqayıt,Kia,Optima,2006,Sedan,Gümüşü,2.0 L/136 a.g./Benzin,356 595 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 300 AZN,4.0,1.0,Avropa
5076,Biləsuvar,LADA (VAZ),2106,1995,Sedan,Ağ,1.5 L/65 a.g./Benzin,27 563 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",2 700 AZN,5.0,2.0,Rusiya
5077,Bakı,LADA (VAZ),21099,1992,Sedan,Yaş Asfalt,1.6 L/80 a.g./Benzin,90 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",4 700 AZN,4.0,1.0,Digər
5078,Bakı,GAZ,3110,2002,Sedan,Yaşıl,2.4 L/130 a.g./Benzin,299 990 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 300 AZN,5.0,2.0,Rusiya
5079,Bakı,Mercedes,C 220,1998,Sedan,Yaşıl,2.2 L/143 a.g./Dizel,345 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 900 AZN,5.0,2.0,Avropa
5080,Bakı,LADA (VAZ),2114,2011,Hetçbek,Yaş Asfalt,1.6 L/80 a.g./Benzin,180 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 900 AZN,4.0,1.0,Rəsmi diler
5081,Bakı,Toyota,Corolla,2022,Sedan,Boz,1.6 L/124 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",25 362 USD,5.0,0.0,Avropa
5082,Sumqayıt,Kia,Cerato,2014,Sedan,Qara,1.8 L/149 a.g./Benzin,103 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 200 AZN,5.0,1.0,Amerika
5083,Göyçay,BMW,318,1998,Sedan,Qara,1.8 L/118 a.g./Benzin,318 717 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",7 700 AZN,5.0,2.0,Avropa
5084,Bakı,Mercedes,C 220,1998,Sedan,Göy,2.2 L/125 a.g./Dizel,519 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 500 AZN,4.0,3.0,Avropa
5085,Bakı,LADA (VAZ),2106,1985,Sedan,Qızılı,1.6 L/75 a.g./Benzin,65 400 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",2 800 AZN,5.0,1.0,Rusiya
5086,Bakı,Kia,Optima,2011,Sedan,Boz,2.0 L/274 a.g./Benzin,137 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 800 AZN,5.0,1.0,Avropa
5087,Lənkəran,Chevrolet,Aveo,2019,Sedan,Qara,1.4 L/100 a.g./Benzin,44 844 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 500 AZN,5.0,1.0,Koreya
5088,Bakı,Mercedes,190,1993,Sedan,Yaş Asfalt,2.0 L/122 a.g./Benzin,442 002 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",4 400 AZN,5.0,0.0,Avropa
5089,Gəncə,Opel,Astra,2009,Hetçbek,Boz,1.4 L/90 a.g./Benzin,200 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 400 AZN,5.0,2.0,Avropa
5090,Bakı,Renault,Koleos,2022,Offroader / SUV,Qara,2.0 L/144 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",31 900 USD,5.0,1.0,Avropa
5091,Bakı,DFSK,Glory 330 S,2022,Minivan,Ağ,1.5 L/115 a.g./Benzin,0 km,Mexaniki,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",26 900 AZN,5.0,1.0,Rəsmi diler
5092,Bakı,Toyota,Corolla,2022,Sedan,Ağ,1.8 L/158 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",26 900 USD,5.0,1.0,Yaponiya
5093,Sabirabad,LADA (VAZ),2109,1990,Hetçbek,Qara,1.5 L/65 a.g./Benzin,250 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",3 000 AZN,5.0,0.0,Rusiya
5094,Masallı,BMW,525,2002,Sedan,Qara,2.5 L/192 a.g./Benzin,292 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",15 000 AZN,4.0,2.0,Rəsmi diler
5095,Bakı,Hyundai,i30,2007,Hetçbek,Yaş Asfalt,1.6 L/115 a.g./Dizel,298 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 000 AZN,5.0,2.0,Avropa
5096,Bakı,Opel,Astra,2006,Hetçbek,Yaş Asfalt,1.4 L/90 a.g./Benzin,194 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 300 AZN,5.0,1.0,Avropa
5097,Bakı,Kia,Sorento,2012,Offroader / SUV,Boz,2.0 L/184 a.g./Dizel,193 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 500 AZN,7.0,1.0,Koreya
5098,Bakı,Ford,Transit,2001,Yük maşını,Ağ,2.4 L/131 a.g./Dizel,200 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 800 AZN,3.0,1.0,Avropa
5099,Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,237 706 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 900 AZN,7.0,1.0,Koreya
5100,Bakı,BMW,525,2006,Sedan,Qara,2.5 L/218 a.g./Benzin,246 711 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",26 300 AZN,5.0,1.0,Avropa
5101,Bakı,LADA (VAZ),2107,1999,Sedan,Ağ,1.6 L/75 a.g./Benzin,94 962 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",4 200 AZN,4.0,2.0,Rusiya
5102,Bakı,BMW,530,2000,Sedan,Gümüşü,3.0 L/231 a.g./Benzin,208 200 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 200 AZN,5.0,2.0,Avropa
5103,Bakı,Toyota,Camry,2022,Sedan,Ağ,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",42 740 USD,5.0,1.0,Rəsmi diler
5104,Bakı,Kia,Sorento,2007,Offroader / SUV,Qara,2.5 L/170 a.g./Dizel,305 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 900 AZN,5.0,1.0,Avropa
5105,Bakı,Toyota,Camry,2022,Sedan,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",43 240 USD,5.0,1.0,Rəsmi diler
5106,Bakı,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",60 540 USD,7.0,1.0,Dubay
5107,Bakı,Opel,Astra,2000,Hetçbek,Qara,1.8 L/116 a.g./Benzin,277 250 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 900 AZN,5.0,2.0,Avropa
5108,Balakən,LADA (VAZ),2107,2009,Sedan,Ağ,1.6 L/75 a.g./Benzin,24 300 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 600 AZN,5.0,0.0,Avropa
5109,Bakı,Toyota,RAV 4,2022,Offroader / SUV,Ağ,2.5 L/222 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",40 940 USD,5.0,1.0,Dubay
5110,Bakı,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",52 540 USD,7.0,1.0,Dubay
5111,Bakı,Hyundai,Sonata,2020,Sedan,Mavi,1.6 L/180 a.g./Benzin,37 190 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",28 000 USD,5.0,1.0,Amerika
5112,Bakı,Kia,Optima,2014,Sedan,Qara,2.0 L/274 a.g./Benzin,113 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",24 800 AZN,5.0,2.0,Amerika
5113,Bakı,Toyota,Land Cruiser,2022,Offroader / SUV,Qara,4.0 L/282 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",92 540 USD,7.0,1.0,Avropa
5114,Bakı,Volkswagen,Passat,2021,Sedan,Qara,1.4 L/150 a.g./Benzin,31 410 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 540 USD,5.0,1.0,Avropa
5115,Bakı,Toyota,Land Cruiser,2008,Offroader / SUV,Qara,4.7 L/288 a.g./Benzin,259 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 900 USD,5.0,2.0,Rəsmi diler
5116,Bakı,Kia,Rio,2013,Sedan,Gümüşü,1.6 L/123 a.g./Benzin,286 463 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 500 AZN,4.0,1.0,Amerika
5117,Bakı,Toyota,Land Cruiser,2021,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,23 500 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",82 540 USD,7.0,1.0,Rəsmi diler
5118,Bakı,Lexus,LX 470,2006,Offroader / SUV,Ağ,4.7 L/234 a.g./Benzin,168 308 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",41 540 AZN,7.0,1.0,Avropa
5119,Bakı,Toyota,Land Cruiser,2017,Offroader / SUV,Yaş Asfalt,4.0 L/282 a.g./Benzin,59 575 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",65 540 USD,7.0,1.0,Rəsmi diler
5120,Bakı,Lexus,LX 570,2009,Offroader / SUV,Ağ,5.7 L/383 a.g./Benzin,118 434 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",36 940 USD,7.0,1.0,Dubay
5121,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,115 122 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",42 940 USD,7.0,1.0,Avropa
5122,Bakı,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",43 240 USD,5.0,1.0,Rəsmi diler
5123,Gəncə,Ford,Transit,2013,Furqon,Ağ,2.2 L/125 a.g./Dizel,171 290 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",25 000 AZN,5.0,1.0,Avropa
5124,Bakı,Jeep,Grand Cherokee,2014,Offroader / SUV,Yaş Asfalt,3.0 L/241 a.g./Dizel,118 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",32 800 USD,5.0,2.0,Avropa
5125,Xırdalan,Opel,Astra,1999,Universal,Boz,1.6 L/101 a.g./Benzin,300 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",6 800 AZN,5.0,1.0,Avropa
5126,Gəncə,LADA (VAZ),2115,2007,Sedan,Qara,1.6 L/75 a.g./Benzin,286 533 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",7 600 AZN,4.0,2.0,Rusiya
5127,Bakı,Hyundai,Santa Fe,2012,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,217 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",32 500 AZN,7.0,2.0,Koreya
5128,Bakı,Nissan,Maxima,2004,Sedan,Gümüşü,3.0 L/200 a.g./Benzin,358 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",6 000 AZN,5.0,1.0,Avropa
5129,Bakı,Mercedes,Vito,2008,Mikroavtobus,Göy,2.2 L/150 a.g./Dizel,234 500 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 200 AZN,7.0,1.0,Avropa
5130,Bakı,Hyundai,Sonata,2015,Sedan,Qara,1.6 L/177 a.g./Benzin,253 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",22 000 AZN,5.0,1.0,Amerika
5131,Bakı,Chevrolet,Cruze,2014,Sedan,Ağ,1.4 L/141 a.g./Benzin,178 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 900 AZN,5.0,1.0,Amerika
5132,Bakı,Mercedes,C 220,1996,Sedan,Qara,2.2 L/150 a.g./Benzin,199 057 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 500 AZN,5.0,1.0,Avropa
5133,Bakı,BMW,525,2006,Sedan,Göy,2.5 L/177 a.g./Dizel,355 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",25 500 AZN,5.0,2.0,Avropa
5134,Sumqayıt,BMW,535,1998,Sedan,Ağ,3.5 L/235 a.g./Benzin,333 104 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 300 AZN,5.0,1.0,Avropa
5135,Bakı,Mercedes,C 240,2000,Sedan,Qara,2.4 L/160 a.g./Benzin,400 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 400 AZN,5.0,1.0,Avropa
5136,Bakı,Mercedes,E 350,2011,Sedan,Ağ,3.0 L/265 a.g./Dizel,150 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",22 900 USD,5.0,1.0,Avropa
5137,Bakı,Audi,A6,2013,Sedan,Qara,2.0 L/211 a.g./Benzin,155 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənib",17 500 USD,5.0,2.0,Avropa
5138,Bakı,Hyundai,Grandeur,2022,Sedan,Qara,2.4 L/200 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",74 500 AZN,5.0,1.0,Rəsmi diler
5139,Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,200 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",24 700 AZN,7.0,1.0,Koreya
5140,Bakı,Infiniti,FX35,2009,Offroader / SUV,Ağ,3.5 L/307 a.g./Benzin,175 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 999 AZN,5.0,1.0,Rəsmi diler
5141,Bakı,Land Rover,Range Rover,2017,Offroader / SUV,Ağ,3.0 L/340 a.g./Benzin,98 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",68 700 USD,5.0,2.0,Amerika
5142,Bakı,Mercedes,CLS 350,2005,Kupe,Boz,3.5 L/272 a.g./Benzin,223 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",19 200 AZN,4.0,1.0,Rəsmi diler
5143,Bakı,Kia,Sorento,2015,Offroader / SUV,Qara,2.2 L/184 a.g./Dizel,159 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 000 AZN,5.0,1.0,Koreya
5144,Bakı,Lexus,LX 600,2022,Offroader / SUV,Boz,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",230 000 USD,5.0,1.0,Avropa
5145,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.2 L/197 a.g./Dizel,179 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 400 AZN,7.0,1.0,Avropa
5146,Bakı,Kia,Rio,2006,Hetçbek,Qara,1.4 L/97 a.g./Benzin,150 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 700 AZN,5.0,1.0,Avropa
5147,Gəncə,Opel,Astra,2006,Hetçbek,Gümüşü,1.4 L/90 a.g./Benzin,170 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 400 AZN,5.0,1.0,Avropa
5148,Bakı,LADA (VAZ),2107,2006,Sedan,Tünd qırmızı,1.5 L/65 a.g./Benzin,66 500 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",4 200 AZN,5.0,1.0,Rusiya
5149,Bakı,BMW,328,2015,Sedan,Ağ,2.0 L/245 a.g./Benzin,150 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 500 USD,5.0,1.0,Amerika
5150,Bakı,Opel,Astra,1998,Universal,Gümüşü,1.6 L/101 a.g./Benzin,111 000 km,Mexaniki,Ön,Xeyr,"Vuruğu var, rənglənməyib",8 500 AZN,4.0,1.0,Digər
5151,Bakı,Iran Khodro,Runna,2013,Sedan,Ağ,1.6 L/110 a.g./Benzin,289 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 300 AZN,5.0,1.0,Avropa
5152,Bakı,Kia,Optima,2013,Sedan,Göy,2.0 L/274 a.g./Benzin,108 208 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 700 USD,5.0,1.0,Amerika
5153,Gəncə,LADA (VAZ),2107,2006,Sedan,Ağ,1.6 L/75 a.g./Benzin,130 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",6 800 AZN,5.0,2.0,Rusiya
5154,Bakı,BMW,X5,2013,Offroader / SUV,Yaş Asfalt,3.0 L/306 a.g./Dizel,460 272 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənib",23 000 USD,5.0,3.0,Amerika
5155,Bakı,Hyundai,Accent,2009,Sedan,Ağ,1.4 L/97 a.g./Benzin,246 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 500 AZN,5.0,2.0,Avropa
5156,Bakı,Nissan,Tiida,2007,Hetçbek,Qara,1.6 L/110 a.g./Benzin,411 111 km,Avtomat,Ön,Xeyr,"Vuruğu var, rənglənib",9 600 AZN,5.0,2.0,Rəsmi diler
5157,Bakı,BMW,X7,2020,Offroader / SUV,Ağ,3.0 L/340 a.g./Benzin,58 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",96 000 USD,5.0,1.0,Rəsmi diler
5158,Bakı,Chevrolet,Cruze,2015,Sedan,Qara,1.4 L/140 a.g./Benzin,199 813 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 500 AZN,5.0,1.0,Amerika
5159,Bakı,Land Rover,Discovery,2011,Offroader / SUV,Qara,3.0 L/254 a.g./Dizel,183 300 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 900 USD,5.0,1.0,Avropa
5160,Bakı,Mercedes,V 250,2015,Avtobus,Göy,2.2 L/190 a.g./Dizel,202 800 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",34 500 USD,7.0,1.0,Avropa
5161,Gəncə,LADA (VAZ),2107,2010,Sedan,Yaş Asfalt,1.6 L/75 a.g./Benzin,113 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 900 AZN,5.0,1.0,Avropa
5162,Bakı,Chevrolet,Aveo,2014,Sedan,Ağ,1.4 L/100 a.g./Benzin,112 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 300 AZN,5.0,1.0,Avropa
5163,Bakı,Chevrolet,Equinox,2019,Offroader / SUV,Qara,1.5 L/170 a.g./Benzin,69 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",28 900 AZN,5.0,1.0,Amerika
5164,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,80 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",46 500 USD,7.0,2.0,Avropa
5165,Bakı,Lexus,LX 470,2006,Offroader / SUV,Qara,4.7 L/275 a.g./Benzin,195 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 500 USD,7.0,1.0,Dubay
5166,Bakı,BMW,530,1997,Sedan,Boz,3.0 L/218 a.g./Benzin,320 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 200 AZN,5.0,1.0,Avropa
5167,Bakı,Nissan,Tiida,2011,Hetçbek,Qara,1.5 L/109 a.g./Benzin,65 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,4.0,1.0,Digər
5168,Bakı,Opel,Vita,1998,Hetçbek,Göy,1.4 L/90 a.g./Benzin,204 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",7 200 AZN,5.0,1.0,Avropa
5169,Bakı,Hyundai,Accent,2012,Sedan,Ağ,1.6 L/140 a.g./Benzin,192 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 800 AZN,5.0,1.0,Avropa
5170,Bakı,Mercedes,C 200,1995,Sedan,Mavi,2.0 L/136 a.g./Benzin,354 540 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 900 AZN,5.0,1.0,Yaponiya
5171,Bakı,Mercedes,CLS 55 AMG,2006,Sedan,Qara,5.4 L/476 a.g./Benzin,200 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 100 AZN,5.0,1.0,Avropa
5172,Bakı,Chevrolet,Cruze,2015,Sedan,Ağ,1.4 L/141 a.g./Benzin,176 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",15 000 AZN,4.0,2.0,Amerika
5173,Bakı,Mercedes,ML 350,2006,Offroader / SUV,Qara,3.5 L/272 a.g./Benzin,210 970 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",24 500 AZN,5.0,1.0,Avropa
5174,Bakı,Nissan,Sunny,1997,Sedan,Yaşıl,1.5 L/105 a.g./Benzin,256 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 700 AZN,5.0,1.0,Avropa
5175,Balakən,LADA (VAZ),2107,2006,Sedan,Ağ,1.6 L/75 a.g./Benzin,100 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",5 950 AZN,5.0,0.0,Rusiya
5176,Bakı,Lexus,LX 570,2014,Offroader / SUV,Qara,5.7 L/383 a.g./Benzin,150 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",44 400 USD,7.0,1.0,Avropa
5177,Bakı,Honda,Insight,2020,Liftbek,Göy,1.5 L/109 a.g./Hibrid,78 200 km,Variator,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 000 USD,5.0,1.0,Amerika
5178,Bakı,Toyota,FJ Cruiser,2021,Offroader / SUV,Qara,4.0 L/276 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",65 000 USD,5.0,0.0,Avropa
5179,Bakı,Volkswagen,Transporter,2005,Minivan,Qara,2.5 L/174 a.g./Dizel,239 340 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 900 USD,7.0,1.0,Avropa
5180,Bakı,Mercedes,S 500,2014,Sedan,Ağ,4.7 L/455 a.g./Benzin,45 700 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",68 000 USD,5.0,1.0,Avropa
